Sample Code,Bone Part,Unit,Sector,Depth (cm),Ceramic Phase,Burial,Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
SAL6003,Long bone,6,199/97,110-120,-,6003,49,4.9,19.6,0.3,-13.2,-13.3,-13.2,-13.2,0.1,7.0,0.1,8.5,8.4,8.4,8.4,0.0,3.3,3,1
SAL6005,Long bone,6,199/96,110-130,-,6005,15,1.6,32.9,2.5,-12.9,-12.9,-12.8,-12.9,0.0,12.0,0.9,9.0,8.9,8.9,8.9,0.0,3.2,3,2
SAL6006,Skull,6,197-198/98,120-130,-,6006,23,3.8,41.1,1.1,-12.8,-12.7,-13.0,-12.8,0.1,14.7,0.3,10.7,10.7,10.7,10.7,0.0,3.3,3,1
SAL6007,Long bone,6,-,120-130,-,6007,13,2.4,36.9,2.7,-13.3,-13.3,-13.3,-13.3,0.0,13.2,1.1,9.4,9.4,9.4,9.4,0.0,3.3,3,2
SAL6014,Long bone,6,195/98,120-130,-,6014,8,2.7,34.2,4.1,-14.0,-14.0,-14.0,-14.0,0.1,11.4,1.3,8.2,8.4,8.4,8.3,0.1,3.5,3,2
SAL6021,Long bone,6,196/98-97,140-150,-,6021,24,4.0,41.7,1.3,-13.4,-13.5,-13.6,-13.5,0.1,15.2,0.5,9.8,9.8,9.8,9.8,0.0,3.2,3,1
SAL6022,Rib,6,198/97,140-150,-,5022,30,3.3,24.3,0.6,-10.8,-10.8,-10.9,-10.8,0.0,8.5,0.2,10.7,10.8,10.8,10.7,0.0,3.3,3,1
SAL6023,Long bone,6,-,140-150,-,6023,37,5.9,39.7,1.3,-14.4,-14.4,-14.3,-14.3,0.0,14.5,0.6,9.3,9.3,9.3,9.3,0.0,3.2,3,2
Mean ,N=63,,,,,,,,,,,,,-12.3,,,,,,,9.0,,,,
1?,,,,,,,,,,,,,,1.7,,,,,,,1.7,,,,
Range,,,,,,,,,,,,,,8.8,,,,,,,9.2,,,,
Median,,,,,,,,,,,,,,-12.7,,,,,,,8.7,,,,
IQR,,,,,,,,,,,,,,1.8,,,,,,,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
